Date,Month1,Month2,Month3,Month4,Month5,Month6,Month7
2021-05-25 21:16:38,DEC-21|2021-12-07 16:50:00|UNKNOWN,MAR-22|2022-03-07 16:50:00|UNKNOWN,MAY-22|2022-05-06 15:50:00|UNKNOWN,SEP-22|2022-09-07 15:50:00|UNKNOWN,JUL-21|2021-07-07 15:50:00|UNKNOWN,SEP-21|2021-09-07 15:50:00|UNKNOWN,JUL-22|2022-07-07 15:50:00|UNKNOWN
2021-07-08 05:27:38,DEC-21|2021-12-07 16:50:00|UNKNOWN,MAR-22|2022-03-07 16:50:00|UNKNOWN,MAY-22|2022-05-06 15:50:00|UNKNOWN,SEP-22|2022-09-07 15:50:00|UNKNOWN,DEC-22|2022-12-07 16:50:00|UNKNOWN,SEP-21|2021-09-07 15:50:00|UNKNOWN,JUL-22|2022-07-07 15:50:00|UNKNOWN
2021-09-08 05:28:50,DEC-21|2021-12-07 16:50:00|UNKNOWN,MAR-22|2022-03-07 16:50:00|UNKNOWN,MAY-22|2022-05-06 15:50:00|UNKNOWN,SEP-22|2022-09-07 15:50:00|UNKNOWN,DEC-22|2022-12-07 16:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,JUL-22|2022-07-07 15:50:00|UNKNOWN
2021-12-08 05:24:09,MAY-23|2023-05-05 15:50:00|UNKNOWN,MAR-22|2022-03-07 16:50:00|UNKNOWN,MAY-22|2022-05-06 15:50:00|UNKNOWN,SEP-22|2022-09-07 15:50:00|UNKNOWN,DEC-22|2022-12-07 16:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,JUL-22|2022-07-07 15:50:00|UNKNOWN
2021-12-30 05:21:30,MAY-23|2023-05-05 15:50:00|UNKNOWN,MAR-22|2022-03-07 16:50:00|UNKNOWN,MAY-22|2022-05-09 15:50:00|UNKNOWN,SEP-22|2022-09-07 15:50:00|UNKNOWN,DEC-22|2022-12-07 16:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,JUL-22|2022-07-07 15:50:00|UNKNOWN
2022-03-07 20:06:55,MAY-23|2023-05-05 15:50:00|UNKNOWN,JUL-23|2023-07-07 15:50:00|UNKNOWN,MAY-22|2022-05-09 15:50:00|UNKNOWN,SEP-22|2022-09-07 15:50:00|UNKNOWN,DEC-22|2022-12-07 16:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,JUL-22|2022-07-07 15:50:00|UNKNOWN
2022-05-09 20:06:55,MAY-23|2023-05-05 15:50:00|UNKNOWN,JUL-23|2023-07-07 15:50:00|UNKNOWN,SEP-23|2023-09-07 15:50:00|UNKNOWN,SEP-22|2022-09-07 15:50:00|UNKNOWN,DEC-22|2022-12-07 16:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,JUL-22|2022-07-07 15:50:00|UNKNOWN
2022-07-07 20:06:55,MAY-23|2023-05-05 15:50:00|UNKNOWN,JUL-23|2023-07-07 15:50:00|UNKNOWN,SEP-23|2023-09-07 15:50:00|UNKNOWN,SEP-22|2022-09-07 15:50:00|UNKNOWN,DEC-22|2022-12-07 16:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,JUN-22|2022-06-09 15:50:00|UNKNOWN
2022-07-15 20:06:54,MAY-23|2023-05-05 15:50:00|UNKNOWN,JUL-23|2023-07-07 15:50:00|UNKNOWN,SEP-23|2023-09-07 15:50:00|UNKNOWN,SEP-22|2022-09-07 15:50:00|UNKNOWN,DEC-22|2022-12-07 16:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,JUN-22|2022-06-01 15:50:00|UNKNOWN
2022-08-18 20:06:56,MAY-23|2023-05-05 15:50:00|UNKNOWN,JUL-23|2023-07-07 15:50:00|UNKNOWN,SEP-23|2023-09-07 15:50:00|UNKNOWN,SEP-22|2022-09-07 15:50:00|UNKNOWN,DEC-22|2022-12-07 16:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,DEC-23|2023-12-07 16:50:00|UNKNOWN
2022-09-07 20:06:55,MAY-23|2023-05-05 15:50:00|UNKNOWN,JUL-23|2023-07-07 15:50:00|UNKNOWN,SEP-23|2023-09-07 15:50:00|UNKNOWN,MAR-24|2024-03-07 16:50:00|UNKNOWN,DEC-22|2022-12-07 16:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,DEC-23|2023-12-07 16:50:00|UNKNOWN
2022-12-07 20:06:55,MAY-23|2023-05-05 15:50:00|UNKNOWN,JUL-23|2023-07-07 15:50:00|UNKNOWN,SEP-23|2023-09-07 15:50:00|UNKNOWN,MAR-24|2024-03-07 16:50:00|UNKNOWN,MAY-24|2024-05-07 15:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,DEC-23|2023-12-07 16:50:00|UNKNOWN
2022-12-22 20:06:56,MAY-23|2023-05-09 15:50:00|UNKNOWN,JUL-23|2023-07-07 15:50:00|UNKNOWN,SEP-23|2023-09-07 15:50:00|UNKNOWN,MAR-24|2024-03-07 16:50:00|UNKNOWN,MAY-24|2024-05-07 15:50:00|UNKNOWN,MAR-23|2023-03-07 16:50:00|UNKNOWN,DEC-23|2023-12-07 16:50:00|UNKNOWN
2023-02-09 19:13:05,MAY-23|2023-05-09 15:50:00|OFFLINE,JUL-23|2023-07-07 15:50:00|OFFLINE,SEP-23|2023-09-07 15:50:00|OFFLINE,MAR-24|2024-03-07 16:50:00|OFFLINE,MAY-24|2024-05-07 15:50:00|OFFLINE,MAR-23|2023-03-07 16:50:00|TRADEABLE,DEC-23|2023-12-07 16:50:00|OFFLINE
