Date,Month1,Month2
2022-08-18 18:47:05,SEP-22|2022-08-29 19:00:00|UNKNOWN,DEC-22|2022-11-28 20:00:00|UNKNOWN
2022-08-29 20:06:56,MAR-23|2023-02-24 20:00:00|UNKNOWN,DEC-22|2022-11-28 20:00:00|UNKNOWN
2022-11-28 20:06:55,MAR-23|2023-02-24 20:00:00|UNKNOWN,JUN-23|2023-05-29 19:00:00|UNKNOWN
2022-12-22 20:06:56,MAR-23|2023-02-24 20:00:00|UNKNOWN,JUN-23|2023-05-26 19:00:00|UNKNOWN
2023-02-09 19:13:05,MAR-23|2023-02-24 20:00:00|TRADEABLE,JUN-23|2023-05-26 19:00:00|OFFLINE
2023-02-22 11:16:55,MAR-23|2023-02-24 20:00:00|TRADEABLE,JUN-23|2023-05-26 19:00:00|TRADEABLE
2023-02-27 12:08:48,SEP-23|2023-08-29 19:00:00|OFFLINE,JUN-23|2023-05-26 19:00:00|TRADEABLE
2023-05-24 11:18:02,SEP-23|2023-08-29 19:00:00|TRADEABLE,JUN-23|2023-05-26 19:00:00|TRADEABLE
2023-05-30 11:16:55,SEP-23|2023-08-29 19:00:00|TRADEABLE,DEC-23|2023-11-28 20:00:00|OFFLINE
2023-08-24 11:16:54,SEP-23|2023-08-29 19:00:00|TRADEABLE,DEC-23|2023-11-28 20:00:00|TRADEABLE
2023-08-30 11:16:55,MAR-24|2024-02-27 20:00:00|OFFLINE,DEC-23|2023-11-28 20:00:00|TRADEABLE
2023-11-22 11:16:55,MAR-24|2024-02-27 20:00:00|TRADEABLE,DEC-23|2023-11-28 20:00:00|TRADEABLE
2023-11-29 11:16:55,MAR-24|2024-02-27 20:00:00|TRADEABLE,JUN-24|2024-05-29 19:00:00|OFFLINE
2023-12-25 11:16:56,MAR-24|2024-02-27 20:00:00|EDITS_ONLY,JUN-24|2024-05-29 19:00:00|OFFLINE
2023-12-26 11:16:51,MAR-24|2024-02-27 20:00:00|TRADEABLE,JUN-24|2024-05-29 19:00:00|OFFLINE
2024-01-01 11:16:51,MAR-24|2024-02-27 20:00:00|EDITS_ONLY,JUN-24|2024-05-29 19:00:00|OFFLINE
2024-01-02 11:16:51,MAR-24|2024-02-27 20:00:00|TRADEABLE,JUN-24|2024-05-29 19:00:00|OFFLINE
2024-02-22 11:16:56,MAR-24|2024-02-27 20:00:00|TRADEABLE,JUN-24|2024-05-29 19:00:00|TRADEABLE
2024-02-28 11:16:51,SEP-24|2024-08-28 19:00:00|OFFLINE,JUN-24|2024-05-29 19:00:00|TRADEABLE
