Date,Month1,Month2,Month3,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12,MonthX
2022-07-22 12:23:38,OCT-22|2022-10-31 20:00:00|UNKNOWN,NOV-22|2022-11-30 20:00:00|UNKNOWN,DEC-22|2022-12-30 20:00:00|UNKNOWN,FEB-23|2023-02-28 20:00:00|UNKNOWN,MAR-23|2023-03-31 19:00:00|UNKNOWN,APR-23|2023-04-28 19:00:00|UNKNOWN,MAY-23|2023-05-31 19:00:00|UNKNOWN,JUN-23|2023-06-30 19:00:00|UNKNOWN,JUL-22|2022-07-29 19:00:00|UNKNOWN,AUG-22|2022-08-31 19:00:00|UNKNOWN,SEP-22|2022-09-30 19:00:00|UNKNOWN,JAN-23|2023-01-31 20:00:00|UNKNOWN
2022-07-29 20:06:55,OCT-22|2022-10-31 20:00:00|UNKNOWN,NOV-22|2022-11-30 20:00:00|UNKNOWN,DEC-22|2022-12-30 20:00:00|UNKNOWN,FEB-23|2023-02-28 20:00:00|UNKNOWN,MAR-23|2023-03-31 19:00:00|UNKNOWN,APR-23|2023-04-28 19:00:00|UNKNOWN,MAY-23|2023-05-31 19:00:00|UNKNOWN,JUN-23|2023-06-30 19:00:00|UNKNOWN,JUL-23|2023-07-31 19:00:00|UNKNOWN,AUG-22|2022-08-31 19:00:00|UNKNOWN,SEP-22|2022-09-30 19:00:00|UNKNOWN,JAN-23|2023-01-31 20:00:00|UNKNOWN
2022-08-31 20:06:55,OCT-22|2022-10-31 20:00:00|UNKNOWN,NOV-22|2022-11-30 20:00:00|UNKNOWN,DEC-22|2022-12-30 20:00:00|UNKNOWN,FEB-23|2023-02-28 20:00:00|UNKNOWN,MAR-23|2023-03-31 19:00:00|UNKNOWN,APR-23|2023-04-28 19:00:00|UNKNOWN,MAY-23|2023-05-31 19:00:00|UNKNOWN,JUN-23|2023-06-30 19:00:00|UNKNOWN,JUL-23|2023-07-31 19:00:00|UNKNOWN,AUG-23|2023-08-31 19:00:00|UNKNOWN,SEP-22|2022-09-30 19:00:00|UNKNOWN,JAN-23|2023-01-31 20:00:00|UNKNOWN
2022-09-30 20:06:56,OCT-22|2022-10-31 20:00:00|UNKNOWN,NOV-22|2022-11-30 20:00:00|UNKNOWN,DEC-22|2022-12-30 20:00:00|UNKNOWN,FEB-23|2023-02-28 20:00:00|UNKNOWN,MAR-23|2023-03-31 19:00:00|UNKNOWN,APR-23|2023-04-28 19:00:00|UNKNOWN,MAY-23|2023-05-31 19:00:00|UNKNOWN,JUN-23|2023-06-30 19:00:00|UNKNOWN,JUL-23|2023-07-31 19:00:00|UNKNOWN,AUG-23|2023-08-31 19:00:00|UNKNOWN,SEP-23|2023-09-29 19:00:00|UNKNOWN,JAN-23|2023-01-31 20:00:00|UNKNOWN
2022-10-31 20:06:55,OCT-23|2023-10-31 20:00:00|UNKNOWN,NOV-22|2022-11-30 20:00:00|UNKNOWN,DEC-22|2022-12-30 20:00:00|UNKNOWN,FEB-23|2023-02-28 20:00:00|UNKNOWN,MAR-23|2023-03-31 19:00:00|UNKNOWN,APR-23|2023-04-28 19:00:00|UNKNOWN,MAY-23|2023-05-31 19:00:00|UNKNOWN,JUN-23|2023-06-30 19:00:00|UNKNOWN,JUL-23|2023-07-31 19:00:00|UNKNOWN,AUG-23|2023-08-31 19:00:00|UNKNOWN,SEP-23|2023-09-29 19:00:00|UNKNOWN,JAN-23|2023-01-31 20:00:00|UNKNOWN
2022-11-30 20:06:54,OCT-23|2023-10-31 20:00:00|UNKNOWN,NOV-23|2023-11-30 20:00:00|UNKNOWN,DEC-22|2022-12-30 20:00:00|UNKNOWN,FEB-23|2023-02-28 20:00:00|UNKNOWN,MAR-23|2023-03-31 19:00:00|UNKNOWN,APR-23|2023-04-28 19:00:00|UNKNOWN,MAY-23|2023-05-31 19:00:00|UNKNOWN,JUN-23|2023-06-30 19:00:00|UNKNOWN,JUL-23|2023-07-31 19:00:00|UNKNOWN,AUG-23|2023-08-31 19:00:00|UNKNOWN,SEP-23|2023-09-29 19:00:00|UNKNOWN,JAN-23|2023-01-31 20:00:00|UNKNOWN
2022-12-30 20:06:55,OCT-23|2023-10-31 20:00:00|UNKNOWN,NOV-23|2023-11-30 20:00:00|UNKNOWN,DEC-23|2023-12-29 20:00:00|UNKNOWN,FEB-23|2023-02-28 20:00:00|UNKNOWN,MAR-23|2023-03-31 19:00:00|UNKNOWN,APR-23|2023-04-28 19:00:00|UNKNOWN,MAY-23|2023-05-31 19:00:00|UNKNOWN,JUN-23|2023-06-30 19:00:00|UNKNOWN,JUL-23|2023-07-31 19:00:00|UNKNOWN,AUG-23|2023-08-31 19:00:00|UNKNOWN,SEP-23|2023-09-29 19:00:00|UNKNOWN,JAN-23|2023-01-31 20:00:00|UNKNOWN
2023-02-01 20:06:56,OCT-23|2023-10-31 20:00:00|UNKNOWN,NOV-23|2023-11-30 20:00:00|UNKNOWN,DEC-23|2023-12-29 20:00:00|UNKNOWN,FEB-23|2023-02-28 20:00:00|UNKNOWN,MAR-23|2023-03-31 19:00:00|UNKNOWN,APR-23|2023-04-28 19:00:00|UNKNOWN,MAY-23|2023-05-31 19:00:00|UNKNOWN,JUN-23|2023-06-30 19:00:00|UNKNOWN,JUL-23|2023-07-31 19:00:00|UNKNOWN,AUG-23|2023-08-31 19:00:00|UNKNOWN,SEP-23|2023-09-29 19:00:00|UNKNOWN,JAN-24|2024-01-31 20:00:00|UNKNOWN
2023-02-09 19:13:05,OCT-23|2023-10-31 20:00:00|OFFLINE,NOV-23|2023-11-30 20:00:00|OFFLINE,DEC-23|2023-12-29 20:00:00|OFFLINE,FEB-23|2023-02-28 20:00:00|OFFLINE,MAR-23|2023-03-31 19:00:00|OFFLINE,APR-23|2023-04-28 19:00:00|OFFLINE,MAY-23|2023-05-31 19:00:00|OFFLINE,JUN-23|2023-06-30 19:00:00|OFFLINE,JUL-23|2023-07-31 19:00:00|OFFLINE,AUG-23|2023-08-31 19:00:00|OFFLINE,SEP-23|2023-09-29 19:00:00|OFFLINE,JAN-24|2024-01-31 20:00:00|OFFLINE
2023-03-01 11:16:54,OCT-23|2023-10-31 20:00:00|OFFLINE,NOV-23|2023-11-30 20:00:00|OFFLINE,DEC-23|2023-12-29 20:00:00|OFFLINE,FEB-24|2024-02-29 20:00:00|OFFLINE,MAR-23|2023-03-31 19:00:00|OFFLINE,APR-23|2023-04-28 19:00:00|OFFLINE,MAY-23|2023-05-31 19:00:00|OFFLINE,JUN-23|2023-06-30 19:00:00|OFFLINE,JUL-23|2023-07-31 19:00:00|OFFLINE,AUG-23|2023-08-31 19:00:00|OFFLINE,SEP-23|2023-09-29 19:00:00|OFFLINE,JAN-24|2024-01-31 20:00:00|OFFLINE
