Date,Month1,Month2,Month3,Month4,Month5,Month6,Month7
2021-05-25 21:16:38,MAY-22|2022-04-08 15:50:00|UNKNOWN,MAR-22|2022-02-11 16:50:00|UNKNOWN,JUL-21|2021-06-11 15:50:00|UNKNOWN,JUL-22|2022-06-10 15:50:00|UNKNOWN,SEP-21|2021-08-13 15:50:00|UNKNOWN,DEC-21|2021-11-12 16:50:00|UNKNOWN,DEC-21|2021-11-12 16:50:00|UNKNOWN
2021-06-14 21:14:07,MAY-22|2022-04-08 15:50:00|UNKNOWN,MAR-22|2022-02-11 16:50:00|UNKNOWN,SEP-22|2022-08-12 15:50:00|UNKNOWN,JUL-22|2022-06-10 15:50:00|UNKNOWN,SEP-21|2021-08-13 15:50:00|UNKNOWN,DEC-21|2021-11-12 16:50:00|UNKNOWN,DEC-21|2021-11-12 16:50:00|UNKNOWN
2021-07-10 05:27:28,MAY-22|2022-04-08 15:50:00|UNKNOWN,MAR-22|2022-02-11 16:50:00|UNKNOWN,SEP-22|2022-08-12 15:50:00|UNKNOWN,JUL-22|2022-06-10 15:50:00|UNKNOWN,SEP-21|2021-08-13 15:50:00|UNKNOWN,DEC-21|2021-11-12 16:50:00|UNKNOWN,DEC-22|2022-11-11 16:50:00|UNKNOWN
2021-08-14 05:28:35,MAY-22|2022-04-08 15:50:00|UNKNOWN,MAR-22|2022-02-11 16:50:00|UNKNOWN,SEP-22|2022-08-12 15:50:00|UNKNOWN,JUL-22|2022-06-10 15:50:00|UNKNOWN,MAR-23|2023-02-10 16:50:00|UNKNOWN,DEC-21|2021-11-12 16:50:00|UNKNOWN,DEC-22|2022-11-11 16:50:00|UNKNOWN
2021-11-13 05:28:40,MAY-22|2022-04-08 15:50:00|UNKNOWN,MAR-22|2022-02-11 16:50:00|UNKNOWN,SEP-22|2022-08-12 15:50:00|UNKNOWN,JUL-22|2022-06-10 15:50:00|UNKNOWN,MAR-23|2023-02-10 16:50:00|UNKNOWN,MAY-23|2023-04-14 15:50:00|UNKNOWN,DEC-22|2022-11-11 16:50:00|UNKNOWN
2022-02-11 20:07:08,MAY-22|2022-04-08 15:50:00|UNKNOWN,JUL-23|2023-06-09 15:50:00|UNKNOWN,SEP-22|2022-08-12 15:50:00|UNKNOWN,JUL-22|2022-06-10 15:50:00|UNKNOWN,MAR-23|2023-02-10 16:50:00|UNKNOWN,MAY-23|2023-04-14 15:50:00|UNKNOWN,DEC-22|2022-11-11 16:50:00|UNKNOWN
2022-07-22 20:06:56,SEP-23|2023-08-11 15:50:00|UNKNOWN,JUL-23|2023-06-09 15:50:00|UNKNOWN,SEP-22|2022-08-12 15:50:00|UNKNOWN,DEC-23|2023-11-10 16:50:00|UNKNOWN,MAR-23|2023-02-10 16:50:00|UNKNOWN,MAY-23|2023-04-14 15:50:00|UNKNOWN,DEC-22|2022-11-11 16:50:00|UNKNOWN
2022-08-12 20:06:56,SEP-23|2023-08-11 15:50:00|UNKNOWN,JUL-23|2023-06-09 15:50:00|UNKNOWN,MAR-24|2024-02-09 16:50:00|UNKNOWN,DEC-23|2023-11-10 16:50:00|UNKNOWN,MAR-23|2023-02-10 16:50:00|UNKNOWN,MAY-23|2023-04-14 15:50:00|UNKNOWN,DEC-22|2022-11-11 16:50:00|UNKNOWN
2022-11-07 20:06:54,SEP-23|2023-08-11 17:50:00|UNKNOWN,JUL-23|2023-06-09 17:50:00|UNKNOWN,MAR-24|2024-02-09 18:50:00|UNKNOWN,DEC-23|2023-11-10 18:50:00|UNKNOWN,MAR-23|2023-02-10 18:50:00|UNKNOWN,MAY-23|2023-04-14 17:50:00|UNKNOWN,DEC-22|2022-11-11 18:50:00|UNKNOWN
2022-11-11 20:06:55,SEP-23|2023-08-11 17:50:00|UNKNOWN,JUL-23|2023-06-09 17:50:00|UNKNOWN,MAR-24|2024-02-09 18:50:00|UNKNOWN,DEC-23|2023-11-10 18:50:00|UNKNOWN,MAR-23|2023-02-10 18:50:00|UNKNOWN,MAY-23|2023-04-14 17:50:00|UNKNOWN,MAY-24|2024-04-12 17:50:00|UNKNOWN
2023-02-09 19:13:05,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|OFFLINE,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,MAR-23|2023-02-10 18:50:00|TRADEABLE,MAY-23|2023-04-14 17:50:00|TRADEABLE,MAY-24|2024-04-12 17:50:00|OFFLINE
2023-02-14 10:00:28,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|OFFLINE,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,JUL-24|2024-06-14 17:50:00|OFFLINE,MAY-23|2023-04-14 17:50:00|TRADEABLE,MAY-24|2024-04-12 17:50:00|OFFLINE
2023-02-20 11:16:56,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|OFFLINE,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,JUL-24|2024-06-14 17:50:00|OFFLINE,MAY-23|2023-04-14 17:50:00|EDITS_ONLY,MAY-24|2024-04-12 17:50:00|OFFLINE
2023-02-21 11:16:56,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|OFFLINE,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,JUL-24|2024-06-14 17:50:00|OFFLINE,MAY-23|2023-04-14 17:50:00|TRADEABLE,MAY-24|2024-04-12 17:50:00|OFFLINE
2023-03-23 11:16:55,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|TRADEABLE,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,JUL-24|2024-06-14 17:50:00|OFFLINE,MAY-23|2023-04-14 17:50:00|TRADEABLE,MAY-24|2024-04-12 17:50:00|OFFLINE
2023-04-07 11:16:53,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|EDITS_ONLY,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,JUL-24|2024-06-14 17:50:00|OFFLINE,MAY-23|2023-04-14 17:50:00|EDITS_ONLY,MAY-24|2024-04-12 17:50:00|OFFLINE
2023-04-11 11:17:26,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|TRADEABLE,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,JUL-24|2024-06-14 17:50:00|OFFLINE,MAY-23|2023-04-14 17:50:00|TRADEABLE,MAY-24|2024-04-12 17:50:00|OFFLINE
2023-04-17 11:17:13,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|TRADEABLE,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,JUL-24|2024-06-14 17:50:00|OFFLINE,SEP-24|2024-08-09 17:50:00|OFFLINE,MAY-24|2024-04-12 17:50:00|OFFLINE
2023-05-01 11:17:29,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|EDITS_ONLY,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,JUL-24|2024-06-14 17:50:00|OFFLINE,SEP-24|2024-08-09 17:50:00|OFFLINE,MAY-24|2024-04-12 17:50:00|OFFLINE
2023-05-02 11:16:56,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|TRADEABLE,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,JUL-24|2024-06-14 17:50:00|OFFLINE,SEP-24|2024-08-09 17:50:00|OFFLINE,MAY-24|2024-04-12 17:50:00|OFFLINE
2023-05-08 11:17:13,SEP-23|2023-08-11 17:50:00|OFFLINE,JUL-23|2023-06-09 17:50:00|EDITS_ONLY,MAR-24|2024-02-09 18:50:00|OFFLINE,DEC-23|2023-11-10 18:50:00|OFFLINE,JUL-24|2024-06-14 17:50:00|OFFLINE,SEP-24|2024-08-09 17:50:00|OFFLINE,MAY-24|2024-04-12 17:50:00|OFFLINE
